Gene_ID,Gene_Name
GeneID:73431,1700052K11Rik
GeneID:24086,Tlk2
GeneID:77097,Tanc2
GeneID:100216537,Snord104
GeneID:21763,Tex2
GeneID:207165,Bptf
GeneID:71795,Pitpnc1
GeneID:66997,Psmd12
GeneID:67927,1700096J18Rik
GeneID:100036768,Gm11696
GeneID:14674,Gna13
GeneID:27404,Abca8b
GeneID:72386,2610035D17Rik
GeneID:69806,Slc39a11
GeneID:432613,4933422H20Rik
GeneID:100628623,Mir3968
GeneID:217316,Slc16a5
GeneID:276905,Armc7
GeneID:217333,Trim47
GeneID:60441,Mrpl38
GeneID:217335,Fbf1
GeneID:217342,Ube2o
GeneID:217344,Rhbdf2
GeneID:107817,Jmjd6
GeneID:74319,Mettl23
GeneID:20382,Srsf2
GeneID:69900,Mfsd11
GeneID:74136,Sec14l1
GeneID:217353,Tmc6
GeneID:217356,Tmc8
GeneID:207607,Ccdc40
GeneID:14387,Gaa
GeneID:71885,2310003H01Rik
GeneID:217365,Nploc4
GeneID:209011,Sirt7
GeneID:17134,Mafg
GeneID:209027,Pycr1
GeneID:100043040,1110002L01Rik
GeneID:75302,Asxl2
GeneID:104111,Adcy3
GeneID:208439,Klhl29
GeneID:58240,Hs1bp3
GeneID:11852,Rhob
GeneID:328059,Slc7a15
GeneID:319503,9930038B18Rik
GeneID:71169,Nbas
GeneID:217410,Trib2
GeneID:50496,E2f6
GeneID:19878,Rock2
GeneID:217430,Pqlc3
GeneID:73667,2410004P03Rik
GeneID:67216,Mboat2
GeneID:19819,Rnaseh1
GeneID:104923,Adi1
GeneID:19088,Prkar2b
GeneID:67452,Pnpla8
GeneID:94186,Strn3
GeneID:11782,Ap4s1
GeneID:73278,1700031P21Rik
GeneID:238161,Akap6
GeneID:665239,Gm7550
GeneID:26443,Psma6
GeneID:18511,Pax9
GeneID:69706,Lrr1
GeneID:66483,Rpl36al
GeneID:217664,Mgat2
GeneID:109065,Dnaaf2
GeneID:76062,5830428M24Rik
GeneID:56444,Actr10
GeneID:19167,Psma3
GeneID:208846,Daam1
GeneID:380765,D830013O20Rik
GeneID:26932,Ppp2r5e
GeneID:20741,Sptb
GeneID:14776,Gpx2
GeneID:104886,Rab15
GeneID:211945,Plekhh1
GeneID:19363,Rad51b
GeneID:97827,Exd2
GeneID:338372,Map3k9
GeneID:238317,Elmsan1
GeneID:100502697,Gm19327
GeneID:66204,Acyp1
