Symbol,SIDM00551,SIDM00478,SIDM00326,SIDM01026,SIDM01028,SIDM00278,SIDM00250,SIDM01032,SIDM01031,SIDM01024,SIDM01027,SIDM00956,SIDM00347,SIDM00325,SIDM01025,SIDM00349,SIDM00052,SIDM01029,SIDM00322
ESPL1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EXOSC9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FAM86B1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FARSB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FBXO5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FCF1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GINS2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GINS4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GNB2L1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GNL3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GPN1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GPN2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GRPEL1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GTF2A2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GTF2B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GTF2E1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GTPBP4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HAUS1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HAUS3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HEATR1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HIST1H2AJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HIST1H2BB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
